doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,journal_is_oa,journal_issns,journal_name,published_date,publisher
10.1007/s00410-015-1116-9,,,,,False,,2,https://doi.org/10.1007/s00410-015-1116-9,journal-article,False,False,"0010-7999,1432-0967",Contributions to Mineralogy and Petrology,2015-02-26,Springer Nature
10.1007/s10347-014-0416-2,,,,,False,,2,https://doi.org/10.1007/s10347-014-0416-2,journal-article,False,False,"0172-9179,1612-4820",Facies,2014-11-23,Springer Nature
10.1007/s10347-014-0420-6,,,,,False,,2,https://doi.org/10.1007/s10347-014-0420-6,journal-article,False,False,"0172-9179,1612-4820",Facies,2014-11-25,Springer Nature
10.1007/s10347-014-0421-5,,,,,False,,2,https://doi.org/10.1007/s10347-014-0421-5,journal-article,False,False,"0172-9179,1612-4820",Facies,2014-11-25,Springer Nature
10.1007/s10347-014-0422-4,,,,,False,,2,https://doi.org/10.1007/s10347-014-0422-4,journal-article,False,False,"0172-9179,1612-4820",Facies,2014-11-21,Springer Nature
10.1007/s10347-014-0423-3,,,,,False,,2,https://doi.org/10.1007/s10347-014-0423-3,journal-article,False,False,"0172-9179,1612-4820",Facies,2014-12-10,Springer Nature
10.1007/s10347-014-0425-1,,,,,False,,2,https://doi.org/10.1007/s10347-014-0425-1,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-01-10,Springer Nature
10.1007/s10347-014-0426-0,,,,,False,,2,https://doi.org/10.1007/s10347-014-0426-0,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-01-21,Springer Nature
10.1007/s10347-015-0427-7,open (via page says license),publisher,cc-by,https://link.springer.com/content/pdf/10.1007%2Fs10347-015-0427-7.pdf,True,publishedVersion,2,https://doi.org/10.1007/s10347-015-0427-7,journal-article,True,False,"0172-9179,1612-4820",Facies,2015-02-08,Springer Nature
10.1007/s10347-015-0428-6,,,,,False,,2,https://doi.org/10.1007/s10347-015-0428-6,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-02-26,Springer Nature
10.1007/s10347-015-0429-5,,,,,False,,2,https://doi.org/10.1007/s10347-015-0429-5,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-02-26,Springer Nature
10.1007/s10347-015-0430-z,,,,,False,,2,https://doi.org/10.1007/s10347-015-0430-z,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-03-05,Springer Nature
10.1007/s10347-015-0431-y,,,,,False,,2,https://doi.org/10.1007/s10347-015-0431-y,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-04-14,Springer Nature
10.1007/s10347-015-0435-7,oa repository (via OAI-PMH title and first author match),repository,,http://real.mtak.hu/32632/1/FACI-D-14-00081ujabb.pdf,True,submittedVersion,2,https://doi.org/10.1007/s10347-015-0435-7,journal-article,True,False,"0172-9179,1612-4820",Facies,2015-04-18,Springer Nature
10.1007/s10347-015-0436-6,,,,,False,,2,https://doi.org/10.1007/s10347-015-0436-6,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-04-23,Springer Nature
10.1007/s10347-015-0437-5,,,,,False,,2,https://doi.org/10.1007/s10347-015-0437-5,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-04-23,Springer Nature
10.1007/s10347-015-0438-4,open (via page says license),publisher,cc-by,https://link.springer.com/content/pdf/10.1007%2Fs10347-015-0438-4.pdf,True,publishedVersion,2,https://doi.org/10.1007/s10347-015-0438-4,journal-article,True,False,"0172-9179,1612-4820",Facies,2015-05-03,Springer Nature
10.1007/s10347-015-0439-3,,,,,False,,2,https://doi.org/10.1007/s10347-015-0439-3,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-05-19,Springer Nature
10.1007/s10347-015-0440-x,,,,,False,,2,https://doi.org/10.1007/s10347-015-0440-x,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-05-09,Springer Nature
10.1007/s10347-015-0441-9,,,,,False,,2,https://doi.org/10.1007/s10347-015-0441-9,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-06-10,Springer Nature
10.1007/s10347-015-0442-8,,,,,False,,2,https://doi.org/10.1007/s10347-015-0442-8,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-05-27,Springer Nature
10.1007/s10347-015-0443-7,,,,,False,,2,https://doi.org/10.1007/s10347-015-0443-7,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-05-28,Springer Nature
10.1007/s10347-015-0444-6,,,,,False,,2,https://doi.org/10.1007/s10347-015-0444-6,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-06-17,Springer Nature
10.1007/s10347-015-0445-5,,,,,False,,2,https://doi.org/10.1007/s10347-015-0445-5,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-08-06,Springer Nature
10.1007/s10347-015-0446-4,,,,,False,,2,https://doi.org/10.1007/s10347-015-0446-4,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-08-25,Springer Nature
10.1007/s10347-015-0447-3,,,,,False,,2,https://doi.org/10.1007/s10347-015-0447-3,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-09-04,Springer Nature
10.1007/s10347-015-0448-2,,,,,False,,2,https://doi.org/10.1007/s10347-015-0448-2,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-09-02,Springer Nature
10.1007/s10347-015-0449-1,,,,,False,,2,https://doi.org/10.1007/s10347-015-0449-1,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-08-21,Springer Nature
10.1007/s10347-015-0450-8,,,,,False,,2,https://doi.org/10.1007/s10347-015-0450-8,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-09-30,Springer Nature
10.1007/s10347-015-0451-7,,,,,False,,2,https://doi.org/10.1007/s10347-015-0451-7,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-11-12,Springer Nature
10.1007/s10347-015-0452-6,,,,,False,,2,https://doi.org/10.1007/s10347-015-0452-6,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-11-27,Springer Nature
10.1007/s10347-015-0453-5,,,,,False,,2,https://doi.org/10.1007/s10347-015-0453-5,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-12-06,Springer Nature
10.1007/s10347-015-0454-4,,,,,False,,2,https://doi.org/10.1007/s10347-015-0454-4,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-12-12,Springer Nature
10.1007/s10347-015-0455-3,open (via page says license),publisher,cc-by,https://link.springer.com/content/pdf/10.1007%2Fs10347-015-0455-3.pdf,True,publishedVersion,2,https://doi.org/10.1007/s10347-015-0455-3,journal-article,True,False,"0172-9179,1612-4820",Facies,2015-12-10,Springer Nature
10.1007/s10347-015-0456-2,,,,,False,,2,https://doi.org/10.1007/s10347-015-0456-2,journal-article,False,False,"0172-9179,1612-4820",Facies,2015-12-19,Springer Nature
10.1007/s10347-015-0457-1,,,,,False,,2,https://doi.org/10.1007/s10347-015-0457-1,journal-article,False,False,"0172-9179,1612-4820",Facies,2016-02-04,Springer Nature
10.1007/s10347-015-0459-z,,,,,False,,2,https://doi.org/10.1007/s10347-015-0459-z,journal-article,False,False,"0172-9179,1612-4820",Facies,2016-01-18,Springer Nature
10.1007/s10347-015-0460-6,,,,,False,,1,https://doi.org/10.1007/s10347-015-0460-6,journal-article,False,False,"0172-9179,1612-4820",Facies,2016-03-12,Springer Nature
10.1007/s10347-016-0461-0,oa repository (via OAI-PMH title and first author match),repository,,http://nora.nerc.ac.uk/id/eprint/513870/1/Facies%20D-15-00062%20revised%20MS%20MET%20edited.pdf,True,submittedVersion,2,https://doi.org/10.1007/s10347-016-0461-0,journal-article,True,False,"0172-9179,1612-4820",Facies,2016-01-20,Springer Nature
10.1007/s10347-016-0462-z,open (via page says license),publisher,cc-by,https://link.springer.com/content/pdf/10.1007%2Fs10347-016-0462-z.pdf,True,publishedVersion,2,https://doi.org/10.1007/s10347-016-0462-z,journal-article,True,False,"0172-9179,1612-4820",Facies,2016-02-08,Springer Nature
10.1007/s10347-016-0463-y,,,,,False,,2,https://doi.org/10.1007/s10347-016-0463-y,journal-article,False,False,"0172-9179,1612-4820",Facies,2016-02-01,Springer Nature
10.1007/s10347-016-0464-x,open (via page says license),publisher,cc-by,https://link.springer.com/content/pdf/10.1007%2Fs10347-016-0464-x.pdf,True,publishedVersion,2,https://doi.org/10.1007/s10347-016-0464-x,journal-article,True,False,"0172-9179,1612-4820",Facies,2016-03-09,Springer Nature
10.1007/s10347-016-0465-9,,,,,False,,2,https://doi.org/10.1007/s10347-016-0465-9,journal-article,False,False,"0172-9179,1612-4820",Facies,2016-03-14,Springer Nature
10.1007/s10347-016-0466-8,,,,,False,,2,https://doi.org/10.1007/s10347-016-0466-8,journal-article,False,False,"0172-9179,1612-4820",Facies,2016-04-11,Springer Nature
10.1007/s10347-016-0467-7,open (via page says license),publisher,cc-by,http://doi.org/10.1007/s10347-016-0467-7,True,publishedVersion,2,https://doi.org/10.1007/s10347-016-0467-7,journal-article,True,False,"0172-9179,1612-4820",Facies,2016-03-29,Springer Nature
10.1007/s10347-016-0468-6,open (via page says license),publisher,cc-by,https://link.springer.com/content/pdf/10.1007%2Fs10347-016-0468-6.pdf,True,publishedVersion,2,https://doi.org/10.1007/s10347-016-0468-6,journal-article,True,False,"0172-9179,1612-4820",Facies,2016-03-26,Springer Nature
10.1007/s10347-016-0469-5,,,,,False,,2,https://doi.org/10.1007/s10347-016-0469-5,journal-article,False,False,"0172-9179,1612-4820",Facies,2016-04-30,Springer Nature
10.1007/s10347-016-0470-z,,,,,False,,2,https://doi.org/10.1007/s10347-016-0470-z,journal-article,False,False,"0172-9179,1612-4820",Facies,2016-04-21,Springer Nature
