doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,journal_is_oa,journal_issns,journal_name,published_date,publisher
10.1371/journal.pbio.1002359,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pbio.1002359,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pbio.1002359,journal-article,TRUE,TRUE,1545-7885,PLOS Biology,25/01/2016,Public Library of Science (PLoS)
10.1371/journal.pbio.1002365,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pbio.1002365,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pbio.1002365,journal-article,TRUE,TRUE,1545-7885,PLOS Biology,18/02/2016,Public Library of Science (PLoS)
10.1371/journal.pbio.1002532,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pbio.1002532,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pbio.1002532,journal-article,TRUE,TRUE,1545-7885,PLOS Biology,09/08/2016,Public Library of Science (PLoS)
10.1371/journal.pbio.2000724,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pbio.2000724,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pbio.2000724,journal-article,TRUE,TRUE,1545-7885,PLOS Biology,02/11/2016,Public Library of Science (PLoS)
10.1371/journal.pbio.2000744,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pbio.2000744,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pbio.2000744,journal-article,TRUE,TRUE,1545-7885,PLOS Biology,19/10/2016,Public Library of Science (PLoS)
10.1371/journal.pcbi.1004168,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pcbi.1004168,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pcbi.1004168,journal-article,TRUE,TRUE,1553-7358,PLOS Computational Biology,28/04/2015,Public Library of Science (PLoS)
10.1371/journal.pcbi.1004440,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pcbi.1004440,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pcbi.1004440,journal-article,TRUE,TRUE,1553-7358,PLOS Computational Biology,14/09/2015,Public Library of Science (PLoS)
10.1371/journal.pcbi.1004605,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pcbi.1004605,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pcbi.1004605,journal-article,TRUE,TRUE,1553-7358,PLOS Computational Biology,18/12/2015,Public Library of Science (PLoS)
10.1371/journal.pcbi.1004812,open (via free pdf),publisher,,http://doi.org/10.1371/journal.pcbi.1004812,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pcbi.1004812,journal-article,TRUE,TRUE,1553-7358,PLOS Computational Biology,11/03/2016,Public Library of Science (PLoS)
10.1371/journal.pcbi.1004921,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pcbi.1004921,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pcbi.1004921,journal-article,TRUE,TRUE,1553-7358,PLOS Computational Biology,30/06/2016,Public Library of Science (PLoS)
10.1371/journal.pcbi.1004964,open (via free pdf),publisher,,http://doi.org/10.1371/journal.pcbi.1004964,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pcbi.1004964,journal-article,TRUE,TRUE,1553-7358,PLOS Computational Biology,13/06/2016,Public Library of Science (PLoS)
10.1371/journal.pcbi.1005302,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pcbi.1005302,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pcbi.1005302,journal-article,TRUE,TRUE,1553-7358,PLOS Computational Biology,30/12/2016,Public Library of Science (PLoS)
10.1371/journal.pgen.1004915,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pgen.1004915,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1004915,journal-article,TRUE,TRUE,1553-7404,PLoS Genetics,08/01/2015,Public Library of Science (PLoS)
10.1371/journal.pgen.1005406,open (via free pdf),publisher,,http://doi.org/10.1371/journal.pgen.1005406,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1005406,journal-article,TRUE,TRUE,1553-7404,PLOS Genetics,17/07/2015,Public Library of Science (PLoS)
10.1371/journal.pgen.1005437,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pgen.1005437,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1005437,journal-article,TRUE,TRUE,1553-7404,PLOS Genetics,25/08/2015,Public Library of Science (PLoS)
10.1371/journal.pgen.1005550,open (via free pdf),publisher,,http://doi.org/10.1371/journal.pgen.1005550,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1005550,journal-article,TRUE,TRUE,1553-7404,PLOS Genetics,12/11/2015,Public Library of Science (PLoS)
10.1371/journal.pgen.1005660,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pgen.1005660,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1005660,journal-article,TRUE,TRUE,1553-7404,PLOS Genetics,07/12/2015,Public Library of Science (PLoS)
10.1371/journal.pgen.1005876,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pgen.1005876,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1005876,journal-article,TRUE,TRUE,1553-7404,PLOS Genetics,11/08/2016,Public Library of Science (PLoS)
10.1371/journal.pgen.1005954,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pgen.1005954,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1005954,journal-article,TRUE,TRUE,1553-7404,PLOS Genetics,15/04/2016,Public Library of Science (PLoS)
10.1371/journal.pgen.1005972,open (via free pdf),publisher,,http://doi.org/10.1371/journal.pgen.1005972,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1005972,journal-article,TRUE,TRUE,1553-7404,PLOS Genetics,06/04/2016,Public Library of Science (PLoS)
10.1371/journal.pgen.1006014,open (via page says license),publisher,cc-by,http://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1006014&type=printable,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1006014,journal-article,TRUE,TRUE,1553-7404,PLOS Genetics,02/06/2016,Public Library of Science (PLoS)
10.1371/journal.pgen.1006059,open (via free pdf),publisher,,http://doi.org/10.1371/journal.pgen.1006059,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1006059,journal-article,TRUE,TRUE,1553-7404,PLOS Genetics,27/05/2016,Public Library of Science (PLoS)
10.1371/journal.pgen.1006108,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pgen.1006108,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1006108,journal-article,TRUE,TRUE,1553-7404,PLOS Genetics,13/06/2016,Public Library of Science (PLoS)
10.1371/journal.pgen.1006215,open (via free pdf),publisher,,http://doi.org/10.1371/journal.pgen.1006215,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pgen.1006215,journal-article,TRUE,TRUE,1553-7404,PLOS Genetics,08/08/2016,Public Library of Science (PLoS)
