doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,journal_is_oa,journal_issns,journal_name,published_date,publisher
10.1007/s12549-014-0167-7,,,,,False,,2,https://doi.org/10.1007/s12549-014-0167-7,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2014-07-03,Springer Nature
10.1007/s12549-014-0170-z,,,,,False,,2,https://doi.org/10.1007/s12549-014-0170-z,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2014-09-16,Springer Nature
10.1007/s12549-014-0171-y,,,,,False,,2,https://doi.org/10.1007/s12549-014-0171-y,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2014-09-20,Springer Nature
10.1007/s12549-014-0172-x,,,,,False,,2,https://doi.org/10.1007/s12549-014-0172-x,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2014-10-15,Springer Nature
10.1007/s12549-014-0174-8,,,,,False,,2,https://doi.org/10.1007/s12549-014-0174-8,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2014-10-31,Springer Nature
10.1007/s12549-014-0175-7,oa repository (via OAI-PMH title and first author match),repository,,http://repository.up.ac.za/bitstream/2263/43467/1/Goetz_Palynology_2015.pdf,True,submittedVersion,2,https://doi.org/10.1007/s12549-014-0175-7,journal-article,True,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2014-12-10,Springer Nature
10.1007/s12549-014-0176-6,,,,,False,,2,https://doi.org/10.1007/s12549-014-0176-6,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-01-20,Springer Nature
10.1007/s12549-014-0177-5,open (via page says license),publisher,cc-by,https://link.springer.com/content/pdf/10.1007%2Fs12549-014-0177-5.pdf,True,publishedVersion,2,https://doi.org/10.1007/s12549-014-0177-5,journal-article,True,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2014-11-19,Springer Nature
10.1007/s12549-014-0178-4,,,,,False,,2,https://doi.org/10.1007/s12549-014-0178-4,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-01-24,Springer Nature
10.1007/s12549-014-0179-3,,,,,False,,2,https://doi.org/10.1007/s12549-014-0179-3,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-02-10,Springer Nature
10.1007/s12549-014-0180-x,,,,,False,,2,https://doi.org/10.1007/s12549-014-0180-x,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-02-10,Springer Nature
10.1007/s12549-014-0181-9,open (via free pdf),publisher,,https://link.springer.com/content/pdf/10.1007%2Fs12549-014-0181-9.pdf,True,publishedVersion,2,https://doi.org/10.1007/s12549-014-0181-9,journal-article,True,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-02-10,Springer Nature
10.1007/s12549-014-0182-8,,,,,False,,2,https://doi.org/10.1007/s12549-014-0182-8,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-02-13,Springer Nature
10.1007/s12549-014-0183-7,,,,,False,,2,https://doi.org/10.1007/s12549-014-0183-7,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-02-12,Springer Nature
10.1007/s12549-015-0184-1,,,,,False,,2,https://doi.org/10.1007/s12549-015-0184-1,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-03-17,Springer Nature
10.1007/s12549-015-0185-0,,,,,False,,2,https://doi.org/10.1007/s12549-015-0185-0,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-03-20,Springer Nature
10.1007/s12549-015-0186-z,,,,,False,,2,https://doi.org/10.1007/s12549-015-0186-z,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-05-08,Springer Nature
10.1007/s12549-015-0187-y,,,,,False,,2,https://doi.org/10.1007/s12549-015-0187-y,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-03-17,Springer Nature
10.1007/s12549-015-0188-x,,,,,False,,2,https://doi.org/10.1007/s12549-015-0188-x,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-04-22,Springer Nature
10.1007/s12549-015-0189-9,,,,,False,,2,https://doi.org/10.1007/s12549-015-0189-9,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-05-08,Springer Nature
10.1007/s12549-015-0190-3,oa repository (via OAI-PMH title and first author match),repository,,https://dash.harvard.edu/bitstream/handle/1/26507533/Electronic_Supplement_1%202.pdf?sequence=5,True,submittedVersion,2,https://doi.org/10.1007/s12549-015-0190-3,journal-article,True,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-04-25,Springer Nature
10.1007/s12549-015-0191-2,,,,,False,,2,https://doi.org/10.1007/s12549-015-0191-2,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-04-24,Springer Nature
10.1007/s12549-015-0192-1,,,,,False,,2,https://doi.org/10.1007/s12549-015-0192-1,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-05-08,Springer Nature
10.1007/s12549-015-0193-0,,,,,False,,2,https://doi.org/10.1007/s12549-015-0193-0,journal-article,False,False,"1867-1594,1867-1608",Palaeobiodiversity and Palaeoenvironments,2015-07-21,Springer Nature
